
0,"(5, 14)","(6, 21)","(45, 45)","(12, 27)"
1,"(3, 5)","(11, 26)","(1, 8)","(1, 16)"
2,"(6, 21)","(14, 29)","(22, 37)","(9, 19)"
3,"(12, 13)","(10, 25)","(27, 42)","(11, 26)"
4,"(9, 15)","(26, 41)","(4, 19)","(3, 8)"
5,"(6, 21)","(29, 44)","(3, 18)","(15, 30)"
6,"(6, 9)","(41, 56)","(7, 22)","(5, 20)"
7,"(16, 18)","(27, 42)","(10, 25)","(9, 16)"
8,"(4, 19)","(25, 40)","(38, 43)","(41, 48)"
9,"(1, 16)","(17, 32)","(13, 28)","(24, 39)"
10,"(7, 7)","(3, 18)","(28, 43)","(24, 28)"
11,"(6, 11)","(27, 42)","(17, 32)","(12, 27)"
12,"(8, 16)","(7, 8)","(8, 23)","(5, 7)"
13,"(12, 15)","(14, 19)","(16, 22)","(34, 36)"
14,"(15, 16)","(8, 23)","(7, 10)","(45, 48)"
15,"(7, 11)","(25, 40)","(13, 21)","(10, 14)"
16,"(4, 19)","(16, 18)","(10, 25)","(11, 26)"
17,"(1, 3)","(26, 41)","(3, 18)","(19, 34)"
18,"(13, 18)","(32, 37)","(23, 38)","(28, 37)"
19,"(3, 18)","(25, 40)","(8, 15)","(22, 37)"

